source_rank,city,state,country,region,latitude,longitude,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note,purchasing_power_score,safety_score,healthcare_score,climate_score,affordability_score,housing_affordability_score,low_pollution_score,low_traffic_score,personalization_adjustment,practical_score,daily_life_score,food_scene_score,culture_score,outdoors_score,transit_score,airport_score,nightlife_score,friendliness_score,pace_of_life,baseline_lifestyle_score,data_quality,method_version,lifestyle_score,lifestyle_fit_score
1.0,The Hague (Den Haag),,Netherlands,Europe,52.0667,4.3167,234.5,168.5,78.9,82.6,74.1,6.1,20.5,17.9,90.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,82.31327800829875,86.07954545454545,90.51546391752575,89.13551401869158,45.660377358490564,95.92445328031809,93.50961538461539,90.8745247148289,85.07391675182414,227.3,88.7,78.0,86.4,65.8,82.7,85.4,77.7,,slow,81.0,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,81.0,169.0
2.0,Eindhoven,,Netherlands,Europe,51.4333,5.5,219.6,154.9,77.6,75.4,70.4,7.2,23.5,20.7,85.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,75.25933609958506,84.23295454545453,75.67010309278352,83.06074766355141,49.15094339622641,94.83101391650099,90.14423076923077,85.17110266159696,80.62124582574756,214.1,68.4,66.0,68.1,31.6,41.5,87.4,57.8,,slow,59.3,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,59.3,63.5
3.0,Rotterdam,,Netherlands,Europe,51.9167,4.4833,218.9,155.3,70.4,79.8,73.5,5.8,21.3,23.8,87.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,75.46680497925313,74.00568181818183,84.7422680412371,85.98130841121495,46.22641509433962,96.22266401590457,86.41826923076923,89.35361216730038,80.4255253370478,213.4,80.7,73.7,76.6,53.0,90.5,82.6,71.7,,slow,75.6,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,75.6,142.3
4.0,Stuttgart,,Germany,Europe,48.7667,9.1833,216.9,191.8,66.0,76.6,69.5,6.5,25.2,36.8,81.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,94.39834024896267,67.75568181818181,78.1443298969072,78.03738317757009,50.0,95.52683896620279,70.79326923076923,81.93916349809885,78.44541289421512,210.0,84.1,73.2,84.7,57.7,95.9,89.4,79.1,,slow,80.4,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,80.4,166.0
5.0,Utrecht,,Netherlands,Europe,52.1,5.1167,214.4,159.7,73.5,79.2,76.1,7.4,24.7,29.4,87.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,77.74896265560164,78.4090909090909,83.50515463917526,85.16355140186916,43.77358490566038,94.63220675944333,79.6875,82.88973384030419,79.37866909741473,209.8,77.9,69.3,76.0,55.4,84.9,88.3,59.4,,slow,73.2,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,73.2,130.4
6.0,Luxembourg,,Luxembourg,Europe,49.6116,6.1319,214.0,167.8,71.5,72.4,79.1,10.1,25.9,21.6,82.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,81.95020746887968,75.56818181818181,69.48453608247424,79.7897196261682,40.943396226415096,91.94831013916502,89.0625,80.6083650190114,77.39834259064929,207.2,69.6,63.4,67.2,51.1,66.2,87.0,57.6,,slow,65.6,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,65.6,93.2
7.0,Stavanger,,Norway,Europe,58.9667,5.75,213.8,162.0,75.1,71.8,89.6,5.6,32.3,19.8,80.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,78.94190871369294,80.68181818181817,68.24742268041236,76.75233644859813,31.037735849056617,96.42147117296223,91.22596153846153,68.44106463878327,75.8148486482321,205.1,75.8,61.8,72.1,62.1,55.7,82.6,52.9,,slow,66.5,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,66.5,97.4
8.0,Gothenburg,,Sweden,Europe,57.7089,11.9746,213.5,177.5,54.2,69.9,66.5,6.6,24.3,19.5,77.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,86.98132780082987,50.99431818181819,64.3298969072165,73.83177570093457,52.83018867924528,95.42743538767395,91.58653846153847,83.65019011406844,75.32490997689536,204.4,75.6,71.9,70.9,56.1,75.6,79.5,61.2,,slow,70.4,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,70.4,116.6
9.0,Bergen,,Norway,Europe,60.3833,5.3333,212.6,152.6,75.9,75.2,93.3,6.6,26.2,20.6,78.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,74.06639004149376,81.81818181818183,75.25773195876289,75.35046728971962,27.547169811320757,95.42743538767395,90.26442307692308,80.03802281368822,76.31010594662986,205.1,70.9,61.1,71.2,58.7,81.9,84.8,54.0,,slow,69.0,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,69.0,109.6
10.0,Copenhagen,,Denmark,Europe,55.6761,12.5683,211.8,156.9,74.1,76.5,83.7,9.7,26.9,22.5,83.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,76.29668049792532,79.26136363636363,77.9381443298969,81.07476635514018,36.60377358490565,92.34592445328032,87.98076923076923,78.70722433460077,77.46980138942367,206.1,89.4,85.3,91.4,54.0,96.0,92.9,91.0,,slow,85.3,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,85.3,190.2
