source_rank,city,state,country,region,latitude,longitude,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note,purchasing_power_score,safety_score,healthcare_score,climate_score,affordability_score,housing_affordability_score,low_pollution_score,low_traffic_score,personalization_adjustment,practical_score,daily_life_score,food_scene_score,nightlife_score,culture_score,outdoors_score,transit_score,airport_score,friendliness_score,pace_of_life,baseline_lifestyle_score,data_quality,method_version,lifestyle_score,lifestyle_fit_score,cityfit_score,cityfit_rank
28.0,Vienna,,Austria,Europe,48.2082,16.3738,200.9,131.0,70.5,79.7,75.1,16.3,23.0,15.8,81.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,62.8630705394191,74.14772727272727,84.5360824742268,78.85514018691589,44.716981132075475,85.78528827037773,96.03365384615384,86.12167300380227,76.28181842826494,198.9,98.7,85.4,90.2,97.0,84.1,94.6,91.0,,slow,92.0,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,92.0,224.8,211.8,1
117.0,Berlin,,Germany,Europe,52.55,13.3667,179.5,141.1,55.4,66.1,70.7,9.9,33.2,38.0,83.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,68.10165975103735,52.698863636363626,56.49484536082472,80.607476635514,48.867924528301884,92.14711729622266,69.35096153846155,66.73003802281367,67.44055973783716,176.9,97.1,88.0,98.1,98.3,90.0,95.6,92.9,,moderate,94.3,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,94.3,236.0,206.4,2
16.0,Munich,,Germany,Europe,48.1351,11.582,208.4,159.9,78.3,76.9,77.1,12.2,28.7,24.7,76.0,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,77.85269709543569,85.22727272727272,78.76288659793815,72.07943925233644,42.83018867924528,89.86083499005964,85.33653846153847,75.2851711026616,77.36750355263588,204.2,95.5,82.0,88.4,91.9,74.0,86.7,89.5,,slow,87.1,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,87.1,200.7,202.4,3
13.0,Amsterdam,,Netherlands,Europe,52.3833,4.9,210.0,156.6,69.9,75.5,81.1,9.2,23.4,27.0,87.5,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,76.14107883817427,73.29545454545455,75.87628865979381,85.51401869158877,39.05660377358491,92.84294234592446,82.57211538461539,85.36121673003802,77.2575422335688,204.9,89.2,80.7,86.7,89.2,74.4,91.2,96.3,,slow,86.5,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,86.5,197.8,201.4,4
33.0,Hamburg,,Germany,Europe,53.55,10.0,198.3,154.6,59.2,74.3,71.3,9.8,30.5,27.3,82.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,75.10373443983403,58.09659090909092,73.40206185567008,80.02336448598129,48.301886792452834,92.2465208747515,82.21153846153845,71.86311787072243,72.66973490470626,193.1,92.6,79.8,89.4,91.6,75.9,94.7,90.1,,moderate,87.8,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,87.8,204.2,198.6,5
113.0,Tokyo,,Japan,Asia,35.6762,139.6503,180.4,132.3,75.9,78.3,53.7,15.1,42.7,42.5,85.3,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,63.53734439834027,81.81818181818183,81.64948453608247,82.94392523364486,64.90566037735849,86.97813121272365,63.94230769230769,48.66920152091253,73.61829705048457,184.9,98.9,91.7,93.7,93.0,66.7,88.7,88.8,,fast,89.0,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,89.0,210.0,197.4,6
15.0,Frankfurt,,Germany,Europe,50.1167,8.6833,208.8,175.9,54.5,76.2,71.2,7.2,23.5,32.3,84.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,86.15145228215768,51.42045454545454,77.31958762886599,82.2429906542056,48.39622641509433,94.83101391650099,76.20192307692308,85.17110266159696,74.73980325263675,201.2,92.4,77.9,83.7,86.0,74.6,89.1,96.0,,slow,85.6,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,85.6,193.4,197.3,7
1.0,The Hague (Den Haag),,Netherlands,Europe,52.0667,4.3167,234.5,168.5,78.9,82.6,74.1,6.1,20.5,17.9,90.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,82.31327800829875,86.07954545454545,90.51546391752575,89.13551401869158,45.660377358490564,95.92445328031809,93.50961538461539,90.8745247148289,85.1218038329061,227.4,87.2,76.6,75.3,84.7,68.1,81.0,85.4,,slow,80.1,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,80.1,166.4,196.9,8
104.0,Madrid,,Spain,Europe,40.4,-3.6833,181.8,113.0,71.0,79.2,59.1,13.5,28.2,38.4,85.5,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,53.526970954356855,74.85795454545455,83.50515463917526,83.17757009345794,59.81132075471698,88.56858846918489,68.87019230769232,76.23574144486692,73.90933452503428,186.0,95.0,88.4,98.5,94.1,59.1,91.7,94.2,,slow,88.3,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,88.3,206.6,196.3,9
130.0,Prague,,Czech Republic,Europe,50.0755,14.4378,175.8,109.5,75.3,74.8,57.8,18.8,31.8,33.0,80.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,51.711618257261414,80.96590909090908,74.43298969072164,77.57009345794393,61.03773584905661,83.30019880715706,75.36057692307692,69.39163498098858,72.47882108659101,181.1,92.0,83.0,93.1,94.7,76.2,92.8,89.7,,slow,88.7,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,88.7,208.6,194.8,10
