source_rank,city,state,country,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note
1,The Hague (Den Haag),,Netherlands,234.5,168.5,78.9,82.6,74.1,6.1,20.5,17.9,90.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
2,Eindhoven,,Netherlands,219.6,154.9,77.6,75.4,70.4,7.2,23.5,20.7,85.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
3,Rotterdam,,Netherlands,218.9,155.3,70.4,79.8,73.5,5.8,21.3,23.8,87.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
4,Stuttgart,,Germany,216.9,191.8,66.0,76.6,69.5,6.5,25.2,36.8,81.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
5,Utrecht,,Netherlands,214.4,159.7,73.5,79.2,76.1,7.4,24.7,29.4,87.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
6,Luxembourg,,Luxembourg,214.0,167.8,71.5,72.4,79.1,10.1,25.9,21.6,82.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
7,Stavanger,,Norway,213.8,162.0,75.1,71.8,89.6,5.6,32.3,19.8,80.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
8,Gothenburg,,Sweden,213.5,177.5,54.2,69.9,66.5,6.6,24.3,19.5,77.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
9,Bergen,,Norway,212.6,152.6,75.9,75.2,93.3,6.6,26.2,20.6,78.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
10,Copenhagen,,Denmark,211.8,156.9,74.1,76.5,83.7,9.7,26.9,22.5,83.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
11,Gent,,Belgium,210.5,152.9,75.0,80.2,71.4,6.2,25.2,35.8,88.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
12,Nuremberg,,Germany,210.3,176.1,66.3,64.0,68.6,7.1,25.3,27.2,77.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
