city,state,country,region,latitude,longitude,daily_life_score,food_scene_score,nightlife_score,culture_score,outdoors_score,transit_score,airport_score,friendliness_score,pace_of_life,lifestyle_score,data_quality,method_version,land_area_km2
Tirana,,Albania,Europe,41.3333,19.8333,86.1,74.3,66.3,54.9,31.2,41.6,76.8,,moderate,61.8,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Buenos Aires,,Argentina,South America,-34.6,-58.45,92.8,87.7,84.5,95.2,42.4,92.0,85.3,,moderate,83.1,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,188.81
Yerevan,,Armenia,Asia,40.1872,44.5152,85.6,75.2,69.3,79.4,26.7,68.4,82.0,,moderate,69.7,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Adelaide,,Australia,Oceania,-34.9333,138.6,79.3,67.9,59.2,68.6,58.1,69.9,81.1,,moderate,69.6,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Brisbane,,Australia,Oceania,-27.5,153.0167,80.7,71.1,59.7,69.8,54.7,77.3,85.3,,moderate,71.6,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Canberra,,Australia,Oceania,-35.3333,149.1667,67.5,60.1,41.7,66.1,55.6,46.9,52.9,,slow,57.3,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Gold Coast,,Australia,Oceania,-27.9833,153.3667,62.2,60.6,45.2,32.8,41.4,77.5,71.0,,slow,55.9,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,186.77
Hobart,,Australia,Oceania,-42.9167,147.3333,64.3,58.8,42.9,55.6,53.5,41.1,63.3,,slow,54.8,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,126.56
Melbourne,,Australia,Oceania,-37.8333,145.0,90.9,80.4,77.8,81.9,57.6,90.6,82.2,,moderate,80.8,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,191.88
Perth,,Australia,Oceania,-31.9333,115.8333,79.4,67.5,59.5,63.2,71.4,70.2,82.7,,moderate,70.9,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Sydney,,Australia,Oceania,-33.8833,151.2,94.0,80.8,74.0,85.7,77.1,95.4,90.3,,moderate,86.1,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,190.86
Graz,,Austria,Europe,47.0833,15.3667,78.8,66.4,65.7,75.5,67.0,71.1,73.4,,slow,71.7,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Vienna,,Austria,Europe,48.2082,16.3738,98.7,85.4,90.2,97.0,79.8,94.6,91.0,,slow,91.4,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Villach,,Austria,Europe,46.6167,13.85,56.1,51.5,47.1,52.5,45.0,50.1,62.0,,slow,52.0,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Baku,,Azerbaijan,Asia,40.4093,49.8671,90.2,76.7,70.8,71.3,22.5,79.1,81.6,,moderate,70.7,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,186.77
Manama,,Bahrain,Middle East,26.2,50.6333,87.1,80.8,57.8,61.6,19.9,32.5,84.2,,slow,60.8,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,76.55
Dhaka,,Bangladesh,Asia,23.7167,90.4167,92.5,75.0,32.9,61.7,38.9,64.5,81.2,,moderate,65.9,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Minsk,,Belarus,Europe,53.9006,27.559,91.8,77.4,78.7,89.2,60.1,82.6,77.0,,slow,80.3,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
Antwerp,,Belgium,Europe,51.2194,4.4025,83.0,73.1,72.2,81.8,56.3,81.9,84.7,,moderate,76.3,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,201.06
